Student#,Birth Place,I started Hunter as,How I travel to school, L/R handed,I would rather go to school than work,A High School should have a dress code,My favorite season is,I use a seat belt,I am registered to vote,My favorite sport to watch,My favorite sport to participate in,I play a musical instrument,I have a pet,My resting pulse is,I read this many books per year,Siblings,BirthOrder,I have earned this many credits,I study this many hours per week,I watch this many movies per year,I want to major in,My favorite color is,My favorite fruit is,At home I speak,My favorite subject is,My least favorite subject is,I watch this many hours of TV,Where I started school in,Buy text?,Read text?,Learn from reading the text?,Learn from reading my notes?,Learn from working problems?,Learn from rewriting my notes?,Learn from working with a tutor?,Learn from working with another student?,I took Statistics because ,I am Math-Anxious,I am good in math,Height,Weight,VerbalSAT,MathSAT,SAT,GPA
251,Italy,senior,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,tennis,basketball,FALSE,FALSE,75,4,2,3,57,28,0,psychology,yellow,grape,English,psychology,math,2,Italy,always,usually,yes,no,yes,yes,yes,no,it's required,TRUE,FALSE,67,170,440,560,1000,3.1
232,Philippines,freshman,ride the subway,Right,TRUE,TRUE,WINTER,FALSE,TRUE,football,football,FALSE,FALSE,unknown,6,2,2,22.5,15,0,nursing,purple,peach,Tagalog,no favorite,foreign language,10,Philippines,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,72,175,680,750,1430,3
92,Managua,freshman,ride the subway,Right,TRUE,TRUE,FALL,FALSE,TRUE,none,none,FALSE,TRUE,unknown,1,1,1,52,6,0,sociology,blue,banana,Spanish,none,math,28,USA,always,sometimes,no,no,no,no,no,no,it's required,TRUE,FALSE,62,140,650,550,1200,2.9
20,USA,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,gymnastics,volleyball,FALSE,FALSE,56,2,3,4,42,8,1,nursing,red,grape,English,biology,math,1,USA,usually,never,yes,no,yes,no,no,no,it's required,TRUE,FALSE,73,195,560,620,1180,3.5
160,Austria,freshman,ride the subway,Right,FALSE,FALSE,SPRING,TRUE,TRUE,billiards,billiards,FALSE,TRUE,2,300,2,3,34,7,1,English,blue,pear,English,English,math,2,USA,always,usually,yes,yes,yes,no,no,no,it's required,TRUE,FALSE,73,215,600,600,1200,3.4
137,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,figure skating,handball,FALSE,TRUE,unknown,0,0,1,13,5,1,education,blue,mango,English,English,math,4,USA,always,sometimes,yes,yes,yes,no,no,yes,it's required,FALSE,FALSE,64,130,570,570,1140,2.4
239,China,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,diving,badminton,FALSE,FALSE,70,10,1,2,Unknown,56,1,computer science,blue,cherry,Chinese,art,humanities,5,China,always,always,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,67,145,680,620,1300,3.4
97,Poland,freshman,ride the subway,Right,TRUE,FALSE,WINTER,TRUE,FALSE,tennis,volleyball,FALSE,TRUE,unknown,5,1,2,9,5,1,psychology,black,strawberry,Polish,psychology,math,10,Poland,always,usually,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,67,155,670,700,1370,2.9
178,USA,freshman,ride the subway,Right,TRUE,FALSE,FALL,TRUE,FALSE,baseball,baseball,FALSE,FALSE,70,4,1,2,13,10,1,nursing,purple,strawberry,English,English,chemistry,15,USA,always,never,no,no,yes,no,no,yes,it's required,TRUE,FALSE,66,138,550,560,1110,2.8
103,USA,junior,ride the subway,Right,not sure,TRUE,SPRING,TRUE,TRUE,baseball,football,FALSE,FALSE,46,8,2,1,101,14,1,physical therapy,blue,apple,English,history,none,15,USA,always,usually,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,72,208,550,560,1110,2.55
49,USA,junior,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,TRUE,football,tennis,FALSE,FALSE,64,10,2,1,70,5,1,nursing,brown,grape,English,science,English,20,USA,usually,usually,no,no,yes,yes,no,yes,it's required,FALSE,TRUE,72,175,650,670,1320,3.6
18,Ukraine,sophomore,"ride the subway, drive",Ambidextrous,FALSE,FALSE,SPRING,FALSE,FALSE,hockey,"hockey, soccer",TRUE,FALSE,82,9,1,2,45,11,2,physical therapy,black,watermelon,Russian,math,chemistry,5,Ukraine,always,sometimes,yes,yes,yes,yes,no,yes,it's required,FALSE,TRUE,65,110,550,640,1190,3.4
111,USA,freshman,ride the subway,Left,TRUE,FALSE,SUMMER,TRUE,TRUE,basketball,volleyball,FALSE,FALSE,72,0,1,2,12,15,2,biology,blue,banana,English,biology,math,10,USA,always,sometimes,no,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,65,140,500,670,1170,2.09
120,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,TRUE,basketball,basketball,FALSE,TRUE,unknown,10,3,4,12,5,2,psychology,red,banana,English,psychology,math,10,USA,always,never,yes,yes,yes,yes,yes,no,it's required,TRUE,FALSE,73,195,560,620,1180,3.5
3,New York,junior,ride the subway,Left,FALSE,FALSE,SUMMER,TRUE,TRUE,basketball,basketball,TRUE,TRUE,unknown,3,2,1,42,30,2,media/communication,blue,apple,English,history,math,10,USA,always,usually,yes,yes,yes,yes,no,no,it's required,FALSE,FALSE,72,208,550,560,1110,2.55
216,Ukraine,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,figure skating,walking,FALSE,FALSE,67,5,3,1,30,17,2,psychology,pink,plum,Russian,no favorite,math,15,Ukraine,always,always,yes,no,yes,no,no,no,it's required,TRUE,FALSE,65,136,710,760,1470,3.5
72,Guyana,sophomore,ride the subway,Right,TRUE,TRUE,SPRING,FALSE,FALSE,basketball,tennis,TRUE,FALSE,63,2,1,1,25,15,3,nursing,green,strawberry,English,classical mythology,math,4,Guyana,always,never,yes,yes,yes,no,yes,yes,it's required,TRUE,FALSE,66,120,560,580,1140,3.5
227,USA,freshman,ride the subway,Right,FALSE,FALSE,SPRING,TRUE,TRUE,basketball,basketball,FALSE,FALSE,67,2,3,1,43,12,3,economics,burgundy,strawberry,English,sociology,math,10,USA,always,never,yes,no,yes,no,no,yes,it's required,TRUE,FALSE,68,135,570,600,1170,3.6
98,China,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,tennis,badminton,TRUE,FALSE,60,10,3,2,15,20,3,computer science,white,mango,Chinese,math,political science,10,China,always,usually,yes,yes,yes,yes,yes,no,it's required,TRUE,TRUE,73,155,730,740,1470,3.21
213,Russia,freshman,ride the subway,Right,FALSE,TRUE,SUMMER,TRUE,FALSE,tennis,tennis,TRUE,TRUE,65,5,2,2,15.5,37,4,physical therapy,red,strawberry,Russian,math,chemistry,3,Russia,always,usually,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,68,137,600,500,1100,3.3
219,Ecuador,freshman,ride the subway,Ambidextrous,FALSE,FALSE,SUMMER,FALSE,FALSE,basketball,handball,FALSE,FALSE,60,1,1,1,37,10,4,physical therapy,blue,plum,Spanish,math,English,4,USA,always,never,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,72,192,600,630,1230,2.47
133,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,TRUE,baseball,volleyball,FALSE,TRUE,76,3,1,2,23,15,4,computer science,white,grape,English,health education,math,10,USA,always,usually,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,62,119,560,580,1140,3.28
245,Haiti,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,FALSE,soccer,soccer,TRUE,FALSE,66,15,2,1,12,20,5,physical therapy,black,orange,Creole,English,math,8,Haiti,always,usually,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,65,140,670,670,1340,3.85
121,USA,nondegree student,ride the subway,Right,FALSE,TRUE,SPRING,TRUE,TRUE,basketball,none,TRUE,FALSE,unknown,12,1,2,3,18,5,nursing,all,banana,English,math,economics,30,USA,always,usually,yes,yes,yes,yes,no,no,it's required,FALSE,TRUE,74,200,550,650,1200,3
266,Russia,nondegree student,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,tennis,tennis,FALSE,TRUE,60,10,1,1,0,15,7,psychology,purple,apple,Russian,chemistry,history,14,Russia,always,always,yes,yes,yes,no,no,yes,chose to take,FALSE,TRUE,68,155,600,600,1200,3.45
272,Spain,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,soccer,all,FALSE,FALSE,unknown,0,1,2,3,2,8,psychology,red,strawberry,Spanish,film,none,1,Spain,never,sometimes,yes,no,yes,yes,yes,no,it's required,NOT SURE,NOT SURE,64,134,640,640,1280,3.89
10,Jamaica,freshman,ride the subway,Left,FALSE,FALSE,FALL,FALSE,TRUE,gymnastics,tennis,TRUE,TRUE,unknown,1,7,8,47,Unknown,10,psychology,black,mango,English,Black & Puerto Rican studies,philosophy,10,USA,sometimes,never,no,no,yes,no,yes,yes,it's required,FALSE,FALSE,60,115,670,700,1370,3.7
21,Russia,sophomore,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,figure skating,none,FALSE,TRUE,unknown,5,1,2,32,10,10,nutrition,black,orange,Russian,Russian,science,30,USA,always,sometimes,no,yes,yes,no,no,no,it's required,FALSE,FALSE,74,200,550,650,1200,3
197,Guyana,senior,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,basketball,cheerleading,FALSE,FALSE,108,3,1,2,98,12,0,urban studies,red,apple,English,urban,math,3,Guyana,always,never,no,no,no,yes,yes,no,it's required,TRUE,FALSE,67,155,670,700,1370,2.9
46,USA,freshman,ride the subway,Right,FALSE,TRUE,SUMMER,TRUE,FALSE,hockey,hockey,TRUE,FALSE,51,10,1,2,48.5,30,0,physical therapy,black,cantaloupe,English,math,physics,15,USA,always,always,yes,no,yes,no,yes,no,it's required,FALSE,TRUE,70,165,600,630,1230,3.4
134,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,TRUE,basketball,running,FALSE,FALSE,45,0,1,1,12,10,1,physician asst.,black,kiwi,English,anthropology,biology,2,USA,always,always,yes,yes,yes,no,yes,no,chose to take,TRUE,TRUE,73,205,560,640,1200,3.51
45,USA,nondegree student,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,basketball,gymnastics,FALSE,FALSE,75,15,1,2,120,4,1,history,purple,blueberry,English,math,science,2,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,74,160,630,690,1320,2.9
237,Belarus,freshman,ride the subway,Right,TRUE,TRUE,FALL,TRUE,FALSE,tennis,swimming,TRUE,TRUE,77,5,3,3,6,20,1,computer science,black,raspberry,Russian,Russian literature,English,3,Belarus,always,usually,no,no,no,no,yes,yes,chose to take,FALSE,TRUE,68,130,500,560,1060,3.5
42,USA,nondegree student,ride the bus,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,baseball,baseball,FALSE,FALSE,unknown,4,1,1,27,20,1,psychology,blue,apple,English,psychology,none,10,USA,always,usually,yes,yes,yes,no,no,no,it's required,TRUE,NOT SURE,71,150,590,650,1240,2.94
254,Jamaica,freshman,ride the subway,Right,TRUE,TRUE,SPRING,TRUE,FALSE,basketball,walking,TRUE,FALSE,unknown,2,2,3,18,6,1,biology,red,orange,English,biology,politics,14,Jamaica,always,never,no,yes,yes,no,no,no,it's required,FALSE,TRUE,63,130,520,510,1030,3
117,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,TRUE,tennis,tennis,FALSE,FALSE,unknown,10,1,2,44.5,4,1,nursing,green,banana,English,science,math,16,USA,always,sometimes,yes,yes,yes,no,yes,yes,it's required,TRUE,FALSE,67,154,550,450,1000,3.3
222,USA,junior,drive,Right,FALSE,TRUE,FALL,TRUE,TRUE,baseball,softball,FALSE,TRUE,76,0,1,1,65,15,1,nursing,black,nectarine,English,science,English,20,USA,always,never,yes,no,yes,yes,no,no,it's required,FALSE,TRUE,64,150,550,560,1110,3.4
57,USA,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,TRUE,basketball,basketball,FALSE,TRUE,60,0,1,2,12,4,2,physical therapy,blue,orange,English,psychology,chemistry,1,USA,usually,usually,no,yes,yes,no,yes,yes,it's required,FALSE,TRUE,73,180,600,670,1270,3.56
224,India,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,"basketball, soccer",soccer,TRUE,FALSE,unknown,5,1,1,24,20,2,pre-medical,yellow,apple,English,math & science,music,5,India,always,always,yes,yes,yes,yes,yes,yes,chose to take,TRUE,TRUE,62,155,620,660,1280,3.1
143,Vietnam,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,basketball,volleyball,FALSE,FALSE,75,2,1,1,9,10,2,accounting,black,orange,Vietnamese,English,chemistry,5,USA,usually,usually,yes,yes,yes,no,yes,yes,it's required,FALSE,FALSE,73,159,620,620,1240,3.31
187,USA,sophomore,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,basketball,aerobics,FALSE,TRUE,80,6,1,2,12,12,2,nursing,green,watermelon,English,science,English,6,USA,always,sometimes,yes,no,yes,yes,no,no,it's required,FALSE,TRUE,70,142,660,680,1340,4
147,USA,freshman,ride the subway,Right,TRUE,FALSE,FALL,FALSE,TRUE,basketball,handball,TRUE,TRUE,66,15,1,2,2,10,2,physical therapy,brown,orange,English,English,art history,10,USA,always,usually,yes,yes,yes,yes,no,no,chose to take,FALSE,TRUE,69,161,550,650,1200,3.16
8,India,freshman,ride the subway,Right,TRUE,FALSE,FALL,FALSE,FALSE,basketball,volleyball,FALSE,FALSE,unknown,5,1,1,22.5,10,2,Physical therapy,red,banana,Malayalam,English,physics,10,India,always,sometimes,yes,no,yes,no,yes,yes,it's required,TRUE,FALSE,74,235,660,710,1370,3.3
128,USA,freshman,ride the subway,Left,FALSE,TRUE,WINTER,FALSE,FALSE,soccer,gymnastics,FALSE,TRUE,80,5,2,3,27,20,2,physical therapy,blue,fig,Italian,art,public speaking,10,USA,always,always,no,yes,yes,yes,no,no,it's required,FALSE,TRUE,62,175,610,620,1230,3.5
27,Jamaica,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,FALSE,track,volleyball,FALSE,FALSE,unknown,3,1,2,15,10,2,physical therapy,brown,none,English,urban studies,history,10,Jamaica,always,sometimes,no,yes,yes,no,yes,yes,it's required,TRUE,TRUE,72,165,500,500,1000,3.3
223,USA,freshman,"ride the subway, ride the bus",Right,TRUE,FALSE,SPRING,TRUE,TRUE,basketball,handball,TRUE,TRUE,unknown,2,4,3,9,8,3,psychology,pink,strawberry,English,math,economics,2,USA,usually,usually,yes,no,yes,no,yes,no,it's required,FALSE,TRUE,71,135,550,550,1100,3.1
206,Korea,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,baseball,baseball,FALSE,FALSE,unknown,11,1,1,6,40,3,computer science,black,apple,Korean,math,English,10,Korea,always,usually,no,no,yes,no,no,yes,chose to take,FALSE,TRUE,75,200,610,600,1210,3.38
14,India,freshman,ride the subway,Right,FALSE,FALSE,FALL,FALSE,FALSE,basketball,basketball,FALSE,FALSE,unknown,2,2,1,22,5,3,pharmacy,gray,mango,Gujarati,movie art ,English,10,USA,always,usually,no,no,no,no,no,no,chose to take,FALSE,FALSE,63,99,600,600,1200,3
79,Poland,sophomore,ride the subway,Right,TRUE,FALSE,FALL,TRUE,FALSE,soccer,tennis,TRUE,TRUE,97,20,1,1,28.5,20,3,physical therapy,green,mango,Polish,chemistry,English,10,Poland,always,always,yes,yes,yes,no,yes,yes,it's required,TRUE,TRUE,72,240,690,550,1240,3.49
78,Korea,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,basketball,FALSE,FALSE,57,1,1,2,14,15,3,undecided,white,watermelon,Korean,math,English,20,Korea,always,usually,no,no,yes,no,yes,yes,chose to take,FALSE,TRUE,66,138,550,560,1110,2.8
23,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,TRUE,baseball,bowling,FALSE,FALSE,76,2,3,2,36,3,4,psychology,blue,strawberry,English,math,history,2,USA,usually,never,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,71,175,700,720,1420,3.7
126,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,horse riding,TRUE,TRUE,68,1,1,1,15,3,4,nursing,pink,clementine,English,social science,math,3,USA,always,never,no,no,no,no,no,no,it's required,TRUE,FALSE,68,190,550,560,1110,2.5
9,USA,freshman,ride the subway,Right,TRUE,TRUE,FALL,TRUE,TRUE,football,softball,FALSE,TRUE,81,9,2,2,28,12,4,physical therapy,navy,cantaloupe,English,history,chemistry,9,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,TRUE,TRUE,61,138,550,550,1100,2.8
248,Israel,freshman,walk,Right,FALSE,FALSE,SPRING,FALSE,FALSE,basketball,basketball,FALSE,TRUE,60,30,1,2,34,15,4,psychology,red,apple,Hebrew,psychology,history,10,USA,always,usually,yes,no,yes,no,yes,yes,it's required,TRUE,FALSE,74,210,510,530,1040,2.7
276,Ukraine,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,FALSE,soccer,soccer,FALSE,FALSE,unknown,0,0,1,42,11,4,psychology,green,mango,Russian,"art, science",English,10,Ukraine,always,always,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,66,135,600,550,1150,2.9
141,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,TRUE,hockey,boxing,TRUE,FALSE,60,12,2,2,65,7,4,nutrition,blue,mango,English,psychology,language,10,USA,sometimes,sometimes,yes,yes,yes,yes,no,no,it's required,TRUE,TRUE,60,98,490,550,1040,3.1
43,USA,nondegree student,ride the subway,Ambidextrous,TRUE,FALSE,SPRING,TRUE,TRUE,basketball,swimming,FALSE,FALSE,84,3,1,1,68,6,4,nursing,gray,apple,English,nursing,math,24,USA,usually,usually,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,73,159,620,620,1240,3.31
